角色名称,生日,中之人,中之人生日,出生年份
户山香澄,07-14,爱美,12-25,1991
花园多惠,12-04,大冢纱英,10-10,1995
牛込里美,03-23,西本里美,10-25,1994
山吹沙绫,05-19,大桥彩香,09-13,1994
市谷有咲,10-27,伊藤彩沙,08-17,1996
美竹兰,04-10,佐仓绫音,01-29,1994
青叶摩卡,09-03,三泽纱千香,01-13,1993
上原绯玛丽,10-23,加藤英美里,11-26,1983
宇田川巴,04-15,日笠阳子,07-16,1985
羽泽鸫,01-07,金元寿子,12-16,1987
丸山彩,12-27,前岛亚美,11-22,1997
冰川日菜,03-20,小泽亚李,08-10,1992
白鹭千圣,04-06,上坂堇,12-19,1991
大和麻弥,11-03,中上育实,06-18,1983
若宫伊芙,06-27,秦佐和子,09-14,1988
凑友希那,10-26,相羽爱奈,10-17,1988
冰川纱夜,03-20,工藤晴香,03-16,1989
今井莉莎,08-25,"远藤祐里香, 中岛由贵","06-24, 09-12","1994, 1997"
宇田川亚子,07-03,樱川惠,10-24,1988
白金燐子,10-17,"明坂聪美, 志崎桦音","01-02, 02-08","1988, 1995"
弦卷心,08-08,伊藤美来,10-12,1996
濑田薰,02-28,田所梓,11-10,1993
北泽育美,07-30,吉田有里,08-18,1992
松原花音,05-11,丰田萌绘,03-15,1995
奥泽美咲,10-01,黑泽朋世,04-10,1996
米歇尔,10-01,黑泽朋世,04-10,1996
仓田真白,02-19,进藤天音,04-20,2004
桐谷透子,12-16,直田姬奈,04-17,1995
广町七深,06-16,西尾夕香,03-31,1994
二叶筑紫,09-15,mika,06-24,
八潮瑠唯,11-19,Ayasa,10-19,1991
和奏瑞依,01-13,Raychell,01-13,1985
朝日六花,07-17,小原莉子,02-03,1990
佐藤益木,05-12,夏芽,07-20,1986
鳰原令王那,03-25,仓知玲凤,05-22,1997
珠手知由,12-07,纺木吏佐,07-05,1996
高松灯,11-22,羊宫妃那,03-26,2000
千早爱音,09-08,立石凛,07-10,2001
要乐奈,02-22,青木阳菜,01-05,2000
长崎爽世,05-27,小日向美香,03-14,2000
椎名立希,08-09,林鼓子,05-15,2002
三角初华,06-26,佐佐木李子,11-10,1997
若叶睦,01-14,渡濑结月,02-18,2003
八幡海铃,04-07,冈田梦以,05-19,1996
祐天寺若麦,06-01,米泽茜,12-31,1998
丰川祥子,02-14,高尾奏音,09-10,2002
仲町阿拉蕾,08-16,,,
宫永野乃花,04-17,,,
峰月律,02-07,,,
藤都子,09-19,,,
千石由乃,11-04,,,
汐见萤,03-12,药师寺李有,09-11,
伊泽枣,03-30,千春,04-10,1995
琴平凪,12-10,结川麻希,02-15,
滨崎茉幌,07-16,伊驹祐里惠,02-24,
和泉朋花,10-24,咲川雏乃,01-22,2004
须贺蕾叶,07-28,橘芽衣,11-19,2008
马桥心玖,10-04,凉泉樱花,03-05,2004
矢仓蓬咲,05-06,花宫初奈,10-24,1999
梅里千樱梨,04-02,菱川花菜,05-19,2003
四宫宁月,03-05,远野光,03-05,1996
